iter	MultiClass
0	1.06084106
1	1.026088724
2	0.9933329885
3	0.9658352151
4	0.939891748
5	0.9176075265
6	0.8941265695
7	0.8725899529
8	0.856601761
9	0.8392214028
10	0.8220670895
11	0.8067689565
12	0.7936122672
13	0.7804212695
14	0.767864443
15	0.7549037787
16	0.7429967868
17	0.7330578718
18	0.7220248095
19	0.7135555565
20	0.705303752
21	0.6972522294
22	0.6897850739
23	0.6825473169
24	0.6753101336
25	0.6695842946
26	0.6627011622
27	0.6559551822
28	0.6498547993
29	0.6436069557
30	0.6387186463
31	0.6329065659
32	0.6273264857
33	0.6220241805
34	0.6171362053
35	0.6132691522
36	0.6087289352
37	0.6044987855
38	0.6009172331
39	0.5965755825
40	0.5927293511
41	0.588996485
42	0.5849268009
43	0.5806780603
44	0.5766408084
45	0.5725670888
46	0.5693222051
47	0.5666921092
48	0.5633076105
49	0.5603171314
50	0.5565693596
51	0.5536229408
52	0.5504558696
53	0.5474467946
54	0.5447340451
55	0.5420294575
56	0.5397597793
57	0.5371956433
58	0.5349482629
59	0.5321252442
60	0.5298743397
61	0.5279048227
62	0.5261516245
63	0.5233866381
64	0.5209742583
65	0.5182409236
66	0.5158858724
67	0.513481588
68	0.5112212837
69	0.5083164061
70	0.5064418102
71	0.5049577403
72	0.5026378742
73	0.5007430417
74	0.4990086179
75	0.4972315087
76	0.4957818209
77	0.4939666675
78	0.4920810191
79	0.4898811842
80	0.4879646685
81	0.4859196348
82	0.4842947293
83	0.4826726305
84	0.4808263375
85	0.4796161528
86	0.4772374762
87	0.47566333
88	0.474067872
89	0.4722037967
90	0.4704068529
91	0.4694639839
92	0.4680227143
93	0.4671353556
94	0.46557719
95	0.4642823874
96	0.4626151307
97	0.4606117401
98	0.458579312
99	0.4569914694
100	0.4555631693
101	0.4533737926
102	0.4517553863
103	0.4501380352
104	0.4482039305
105	0.4464225811
106	0.4445982928
107	0.4430805017
108	0.4420180657
109	0.4407158934
110	0.4391087706
111	0.4374589729
112	0.4359167034
113	0.4346462243
114	0.4328347398
115	0.4319696598
116	0.4306867326
117	0.4289488613
118	0.4278561139
119	0.4267128162
120	0.4256900202
121	0.424921354
122	0.4234432024
123	0.4224059227
124	0.4210194446
125	0.4195956348
126	0.4181537641
127	0.417033483
128	0.4160915237
129	0.4147998939
130	0.4137320277
131	0.4120596536
132	0.4105697889
133	0.4097874634
134	0.4084121098
135	0.4067550745
136	0.4054453973
137	0.4049493973
138	0.4038638413
139	0.4031971692
140	0.4017804293
141	0.400144244
142	0.3979509514
143	0.3968832566
144	0.3951816804
145	0.3945884673
146	0.3930420849
147	0.3921017211
148	0.3913702481
149	0.3901423541
150	0.3891377323
151	0.3874407813
152	0.3864108787
153	0.3848166739
154	0.3841057476
155	0.3824588927
156	0.3816653448
157	0.3798917314
158	0.3786006882
159	0.3774750892
160	0.3765033944
161	0.3756453886
162	0.3747587398
163	0.3730941413
164	0.3716691457
165	0.3712603145
166	0.3700135838
167	0.3686459801
168	0.3674513774
169	0.3661766943
170	0.3646097727
171	0.3628909626
172	0.3618298351
173	0.3611591353
174	0.360591048
175	0.3595671786
176	0.3583294659
177	0.3578832942
178	0.3569116431
179	0.3556482217
180	0.3540434817
181	0.3528261576
182	0.3517135805
183	0.3512424087
184	0.3502094754
185	0.3491288059
186	0.3480883285
187	0.3472029525
188	0.3462932593
189	0.34492473
190	0.3434782642
191	0.3429734027
192	0.3418995542
193	0.3405447158
194	0.3394368697
195	0.3378178432
196	0.336547205
197	0.3352235241
198	0.3338836707
199	0.3327339801
